"Column Name","Label"
"S0101_C01_008E","Total!!Estimate!!AGE!!30 to 34 years"
"S0101_C01_008M","Total!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C01_008MA","Annotation of Total!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C01_008EA","Annotation of Total!!Estimate!!AGE!!30 to 34 years"
"S0101_C02_008E","Male!!Estimate!!AGE!!30 to 34 years"
"S0101_C02_008EA","Annotation of Male!!Estimate!!AGE!!30 to 34 years"
"S0101_C02_008M","Male!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C02_008MA","Annotation of Male!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C03_008E","Female!!Estimate!!AGE!!30 to 34 years"
"S0101_C03_008EA","Annotation of Female!!Estimate!!AGE!!30 to 34 years"
"S0101_C03_008M","Female!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C03_008MA","Annotation of Female!!Margin of Error!!AGE!!30 to 34 years"
"S0101_C01_009E","Total!!Estimate!!AGE!!35 to 39 years"
"S0101_C01_009EA","Annotation of Total!!Estimate!!AGE!!35 to 39 years"
"S0101_C01_009M","Total!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C01_009MA","Annotation of Total!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C02_009E","Male!!Estimate!!AGE!!35 to 39 years"
"S0101_C02_009M","Male!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C02_009MA","Annotation of Male!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C02_009EA","Annotation of Male!!Estimate!!AGE!!35 to 39 years"
"S0101_C03_009E","Female!!Estimate!!AGE!!35 to 39 years"
"S0101_C03_009EA","Annotation of Female!!Estimate!!AGE!!35 to 39 years"
"S0101_C03_009M","Female!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C03_009MA","Annotation of Female!!Margin of Error!!AGE!!35 to 39 years"
"S0101_C01_010E","Total!!Estimate!!AGE!!40 to 44 years"
"S0101_C01_010EA","Annotation of Total!!Estimate!!AGE!!40 to 44 years"
"S0101_C01_010M","Total!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C01_010MA","Annotation of Total!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C02_010E","Male!!Estimate!!AGE!!40 to 44 years"
"S0101_C02_010M","Male!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C02_010MA","Annotation of Male!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C02_010EA","Annotation of Male!!Estimate!!AGE!!40 to 44 years"
"S0101_C03_010E","Female!!Estimate!!AGE!!40 to 44 years"
"S0101_C03_010EA","Annotation of Female!!Estimate!!AGE!!40 to 44 years"
"S0101_C03_010M","Female!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C03_010MA","Annotation of Female!!Margin of Error!!AGE!!40 to 44 years"
"S0101_C01_011E","Total!!Estimate!!AGE!!45 to 49 years"
"S0101_C01_011EA","Annotation of Total!!Estimate!!AGE!!45 to 49 years"
"S0101_C01_011M","Total!!Margin of Error!!AGE!!45 to 49 years"
"S0101_C01_011MA","Annotation of Total!!Margin of Error!!AGE!!45 to 49 years"
"S0101_C02_011E","Male!!Estimate!!AGE!!45 to 49 years"
"S0101_C02_011EA","Annotation of Male!!Estimate!!AGE!!45 to 49 years"
"S0101_C02_011M","Male!!Margin of Error!!AGE!!45 to 49 years"
"S0101_C02_011MA","Annotation of Male!!Margin of Error!!AGE!!45 to 49 years"
