geoid,name,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
15000US530330238083,"BG 3, Tract 238.08, King, WA",1145,208,654,169,20,23,19,21,0,13,34,48,0,13,0,13,0,13,0,13,109,87,37,31,14,21,36,32,100,104,0,13,185,98,34,41,0,13,16,25,0,13,0,13,0,13,0,13,50,5,491,134,0,13,58,44,0,13,0,13,0,13,0,13,0,13,13,21,41,59,43,44,42,54,54,40,19,27,42,68,98,4,0,13,16,25,0,13,0,13,15,24,0,13,50,4,0,13
15000US530330239011,"BG 1, Tract 239.01, King, WA",1636,451,937,309,28,44,0,13,104,101,50,79,11,17,0,13,0,13,50,48,94,58,231,149,90,85,98,105,0,13,43,63,14,32,0,13,44,59,0,13,0,13,52,67,0,13,17,28,11,19,699,216,0,13,22,37,0,13,15,23,0,13,0,13,11,18,35,34,153,100,99,82,80,78,16,26,65,82,55,60,29,41,0,13,44,65,0,13,17,28,14,21,17,28,17,28,10,15
15000US530330239012,"BG 2, Tract 239.01, King, WA",1268,462,757,334,157,132,65,71,28,43,53,59,19,23,0,13,39,45,0,13,0,13,32,36,42,42,72,65,82,54,41,42,51,58,0,13,19,31,0,13,11,18,0,13,34,35,0,13,12,22,511,161,72,79,37,43,46,47,0,13,0,13,0,13,0,13,0,13,12,21,30,35,109,79,11,22,52,62,74,47,0,13,18,30,10,18,4,8,0,13,23,29,13,20,0,13,0,13
15000US530330239013,"BG 3, Tract 239.01, King, WA",1678,619,877,350,12,18,195,224,35,36,66,36,10,12,0,13,0,13,20,30,16,18,33,40,85,121,55,53,34,34,71,45,100,59,2,5,9,11,19,30,46,38,26,26,4,5,24,32,15,21,801,289,114,151,32,43,68,53,10,9,27,29,1,2,0,13,2,4,24,29,32,24,92,113,62,59,41,42,57,40,86,45,7,7,20,25,2,3,25,28,65,45,26,30,5,5,3,4
15000US530330239021,"BG 1, Tract 239.02, King, WA",1654,338,769,229,52,45,68,68,118,90,58,59,13,19,0,13,0,13,13,20,49,63,0,13,27,35,51,49,145,62,58,51,12,19,8,12,67,53,0,13,16,26,14,23,0,13,0,13,0,13,885,189,70,71,40,53,126,100,24,38,53,49,7,14,0,13,11,18,0,13,31,49,31,39,95,41,63,45,75,55,100,68,32,30,0,13,0,13,28,34,60,69,15,25,0,13,24,29
15000US530330239022,"BG 2, Tract 239.02, King, WA",1242,357,573,180,15,26,103,86,45,45,8,12,20,31,0,13,0,13,0,13,0,13,14,23,8,17,56,47,97,75,35,38,82,81,0,13,10,17,48,56,16,27,0,13,0,13,16,27,0,13,669,219,0,13,14,26,54,61,71,74,0,13,0,13,0,13,0,13,30,37,0,13,62,50,30,39,73,79,53,45,9,17,15,25,100,85,15,26,47,55,24,29,56,51,0,13,16,27
15000US530330240011,"BG 1, Tract 240.01, King, WA",1459,279,757,213,54,67,0,13,66,44,14,23,0,13,0,13,23,37,50,54,100,135,0,13,38,41,13,21,109,78,73,70,120,74,14,25,0,13,13,21,40,42,0,13,0,13,22,33,8,14,702,185,0,13,12,20,12,21,68,58,22,35,0,13,0,13,12,20,0,13,43,42,21,31,22,29,85,72,60,47,201,149,50,44,0,13,16,25,23,28,20,33,27,38,8,14,0,13
15000US530330240012,"BG 2, Tract 240.01, King, WA",1406,407,667,218,0,13,126,68,90,60,19,31,0,13,31,35,0,13,0,13,0,13,17,28,21,33,83,53,66,56,78,49,40,48,0,13,0,13,0,13,49,51,19,29,28,43,0,13,0,13,739,243,9,19,60,55,17,24,35,38,72,97,0,13,17,29,0,13,20,32,0,13,20,31,126,59,0,13,94,57,71,92,12,20,0,13,0,13,49,51,19,30,37,52,0,13,81,64
15000US530330240013,"BG 3, Tract 240.01, King, WA",1406,346,789,229,74,70,58,83,11,22,28,31,30,32,0,13,0,13,0,13,148,157,109,78,17,27,91,72,47,45,63,80,36,38,0,13,16,27,11,18,0,13,30,37,20,29,0,13,0,13,617,174,16,26,0,13,56,64,63,80,0,13,0,13,0,13,16,27,85,63,53,58,18,28,101,72,15,23,93,80,33,49,0,13,0,13,9,15,29,36,0,13,30,34,0,13,0,13
15000US530330240021,"BG 1, Tract 240.02, King, WA",1368,507,775,266,0,13,85,65,63,46,22,30,106,131,0,13,0,13,0,13,0,13,2,6,24,26,17,24,83,57,75,85,88,85,15,23,47,45,45,38,0,13,41,55,32,50,0,13,30,32,593,260,0,13,49,44,0,13,61,92,0,13,0,13,0,13,0,13,0,13,27,33,78,58,21,35,21,29,160,160,48,46,0,13,18,28,12,20,46,55,40,54,0,13,0,13,12,19
15000US530330240022,"BG 2, Tract 240.02, King, WA",1001,280,458,149,24,45,33,45,12,18,0,13,0,13,0,13,0,13,30,51,17,27,54,52,27,27,103,83,0,13,25,28,12,19,20,31,31,41,0,13,15,24,29,34,0,13,0,13,26,30,543,178,51,52,0,13,0,13,25,30,0,13,0,13,0,13,27,37,0,13,28,33,29,32,37,50,41,38,0,13,76,66,14,25,66,73,12,20,40,37,32,38,10,17,17,29,38,35
15000US530330240023,"BG 3, Tract 240.02, King, WA",1735,659,1013,361,188,158,111,76,49,50,90,72,20,28,0,13,0,13,42,53,16,27,33,34,232,141,70,45,90,72,30,39,0,13,0,13,0,13,0,13,12,19,0,13,0,13,0,13,30,33,722,329,45,54,143,158,28,35,0,13,0,13,0,13,0,13,10,16,14,24,130,71,72,46,164,159,24,34,39,42,0,13,0,13,0,13,26,28,14,23,0,13,0,13,0,13,13,21
15000US530330241001,"BG 1, Tract 241, King, WA",1689,214,836,110,40,17,55,21,76,23,54,20,8,6,0,13,2,3,18,11,27,20,30,21,48,26,41,20,61,21,77,24,111,32,16,10,22,12,18,10,21,9,36,13,30,11,20,11,25,15,853,122,23,15,79,24,52,16,50,19,5,4,2,4,3,3,11,9,24,17,29,20,61,59,72,22,61,18,100,33,86,31,16,8,22,11,11,7,17,11,43,13,43,17,11,7,32,17
15000US530330241002,"BG 2, Tract 241, King, WA",1720,172,793,91,0,13,52,33,63,25,66,31,15,17,10,9,0,13,11,11,10,10,8,9,56,33,51,37,62,23,70,32,81,32,18,14,57,33,44,26,22,19,35,22,31,19,12,11,19,15,927,104,51,41,82,55,44,22,29,21,24,20,7,9,8,11,27,27,46,37,18,18,88,53,29,16,55,23,100,37,112,37,20,14,37,26,23,19,37,23,30,15,33,16,3,5,24,16
15000US530330241003,"BG 3, Tract 241, King, WA",1398,170,706,148,28,19,57,20,57,31,36,22,3,5,0,13,0,13,17,17,24,25,5,7,22,13,34,17,62,22,45,22,33,18,14,11,38,25,11,8,134,157,32,31,10,7,20,20,24,21,692,91,25,19,42,24,90,32,57,32,12,11,14,12,10,10,14,10,0,13,11,10,50,16,51,23,56,26,78,29,23,15,10,10,22,22,14,11,8,10,28,27,19,13,20,20,38,24
15000US530330242001,"BG 1, Tract 242, King, WA",1553,207,732,94,35,23,21,15,140,61,30,23,5,9,6,9,11,12,5,8,7,10,13,14,32,19,26,19,79,31,118,71,36,26,11,10,48,34,39,28,12,12,23,17,19,14,6,9,10,11,821,140,21,16,9,11,122,73,69,30,58,42,13,15,0,13,71,83,0,13,23,16,52,24,34,21,140,52,50,23,37,19,6,9,20,16,23,18,21,23,37,21,5,8,5,8,5,7
15000US530330242002,"BG 2, Tract 242, King, WA",1375,212,672,113,39,22,36,19,33,19,47,23,13,14,0,13,0,13,5,8,13,13,6,10,46,33,43,21,57,27,74,27,64,29,5,7,37,30,15,13,58,34,22,14,26,16,21,15,12,13,703,120,23,18,56,25,60,27,27,18,0,13,0,13,0,13,5,8,21,17,6,9,30,19,84,32,65,26,47,23,41,23,33,24,10,10,17,15,59,26,14,14,36,22,16,14,53,50
15000US530330243022,"BG 2, Tract 243.02, King, WA",1718,475,823,296,12,20,123,143,117,86,34,41,0,13,0,13,0,13,17,27,58,83,67,67,38,41,82,98,107,61,10,19,44,40,0,13,14,23,5,11,27,35,57,50,11,17,0,13,0,13,895,211,0,13,33,34,71,60,197,126,22,39,27,45,0,13,0,13,94,77,25,39,81,81,17,24,161,61,9,17,34,34,29,34,0,13,29,36,0,13,52,36,0,13,14,23,0,13
15000US530330244001,"BG 1, Tract 244, King, WA",1690,491,725,247,0,13,21,22,29,35,10,17,155,156,18,20,0,13,5,8,51,45,5,7,10,15,30,27,51,40,97,87,58,45,13,17,32,33,29,32,7,11,27,19,23,19,20,18,34,24,965,260,37,34,11,15,96,73,125,125,0,13,0,13,0,13,9,11,92,62,0,13,20,22,8,12,109,85,61,41,74,49,18,17,19,22,2,4,17,19,24,21,53,31,33,25,157,48
15000US530330247011,"BG 1, Tract 247.01, King, WA",992,249,577,177,13,21,49,28,40,34,54,45,0,13,12,18,0,13,27,41,9,15,19,21,26,28,29,26,137,145,14,20,32,41,21,33,38,38,24,36,0,13,25,21,0,13,0,13,8,12,415,116,0,13,14,21,23,23,19,22,16,22,0,13,0,13,24,37,10,15,22,26,14,22,31,28,26,25,43,36,53,55,27,24,0,13,7,12,34,37,23,22,1,14,0,13,28,31
