geoid,name,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
15000US530330249014,"BG 4, Tract 249.01, King, WA",1185,230,592,110,23,23,50,32,38,26,20,23,14,19,3,8,0,13,17,19,36,38,25,27,42,29,21,24,70,35,28,22,59,66,25,27,48,44,8,12,0,13,25,20,24,28,8,12,8,13,593,143,33,29,33,30,58,24,19,22,0,13,0,13,0,13,7,12,60,69,1,5,54,34,60,29,47,26,35,29,10,12,14,22,73,40,23,33,11,15,22,19,17,17,8,12,8,9
15000US530330249021,"BG 1, Tract 249.02, King, WA",1066,198,556,139,18,19,10,16,41,30,10,15,0,13,0,13,25,31,36,34,24,29,48,29,87,75,51,40,19,21,19,16,59,42,17,18,14,17,15,17,12,14,34,24,4,10,6,11,7,11,510,105,7,14,61,46,51,40,11,17,0,13,0,13,0,13,38,45,37,34,15,19,26,23,45,38,55,40,7,12,29,27,20,22,18,19,13,14,17,16,37,27,7,10,7,10,9,15
15000US530330249022,"BG 2, Tract 249.02, King, WA",2289,650,1020,241,22,25,97,46,113,51,23,26,67,93,0,13,0,13,34,52,11,18,24,26,18,19,142,98,88,44,80,43,160,118,19,23,9,15,38,40,31,25,20,18,20,19,4,6,0,13,1269,469,30,34,135,153,96,44,99,132,10,14,77,117,0,13,0,13,42,35,36,33,32,26,183,152,75,42,118,45,98,73,0,13,33,38,36,36,69,59,59,57,6,9,35,54,0,13
15000US530330249023,"BG 3, Tract 249.02, King, WA",1086,221,538,114,39,40,22,20,82,38,40,28,7,11,0,13,0,13,13,13,26,26,0,13,58,36,25,23,53,32,70,42,13,17,16,17,10,15,0,13,23,18,7,10,27,21,7,11,0,13,548,135,26,30,36,32,34,27,64,56,24,25,0,13,0,13,13,17,0,13,25,25,28,26,25,24,95,46,61,31,31,29,9,14,0,13,8,17,20,16,15,17,19,24,7,10,8,11
15000US530330249041,"BG 1, Tract 249.04, King, WA",1308,290,659,138,0,13,29,26,61,44,55,42,25,32,12,20,16,25,41,41,0,13,23,38,24,29,45,43,20,25,39,39,102,69,33,36,73,55,0,13,42,38,0,13,0,13,19,30,0,13,649,170,13,20,36,30,46,37,42,47,17,23,0,13,0,13,0,13,12,18,17,28,36,31,41,40,53,34,49,39,117,97,62,54,22,25,21,31,25,35,21,32,19,29,0,13,0,13
15000US530330249042,"BG 2, Tract 249.04, King, WA",1602,540,828,308,14,24,35,29,18,26,111,153,26,28,0,13,0,13,0,13,38,39,15,27,25,34,136,100,33,43,115,138,54,38,57,53,15,24,51,45,9,18,38,37,38,41,0,13,0,13,774,265,23,35,30,34,58,76,22,31,39,47,111,160,0,13,0,13,0,13,31,41,38,34,37,42,22,29,125,104,22,32,14,23,27,33,63,41,54,60,20,31,18,27,20,31,0,13
15000US530330249051,"BG 1, Tract 249.05, King, WA",1175,302,613,183,18,27,23,34,76,65,31,32,0,13,18,30,0,13,0,13,36,42,2,5,28,30,29,32,97,72,0,13,31,28,55,55,51,46,0,13,40,38,78,126,0,13,0,13,0,13,562,138,23,29,22,26,30,29,0,13,0,13,0,13,0,13,0,13,90,55,19,26,0,13,43,42,36,34,58,64,54,36,0,13,91,57,30,35,2,4,64,87,0,13,0,13,0,13
15000US530330249052,"BG 2, Tract 249.05, King, WA",2353,442,1155,225,62,53,46,63,87,61,27,32,55,58,0,13,0,13,23,37,32,39,46,36,107,66,50,45,99,60,87,67,157,114,33,51,41,32,66,42,16,25,54,47,46,40,5,9,16,27,1198,245,38,39,79,60,73,71,73,74,71,87,0,13,0,13,0,13,70,77,85,60,110,65,78,58,101,63,116,80,72,76,51,47,42,33,24,29,18,26,26,31,42,38,13,23,16,26
15000US530330250012,"BG 2, Tract 250.01, King, WA",1558,524,964,391,51,41,106,79,20,23,10,16,0,13,0,13,0,13,0,13,73,49,192,134,98,72,61,61,22,23,0,13,23,27,11,17,0,13,0,13,65,95,182,271,39,34,11,18,0,13,594,197,22,35,9,14,10,16,31,49,26,29,0,13,0,13,0,13,48,47,135,108,98,64,41,46,0,13,51,54,30,33,0,13,0,13,0,13,0,13,10,16,7,11,0,13,76,82
15000US530330250013,"BG 3, Tract 250.01, King, WA",1702,380,748,190,12,15,70,57,56,53,17,21,0,13,0,13,0,13,10,17,35,28,52,40,65,50,54,49,91,58,64,46,9,15,10,17,48,43,11,17,35,37,37,33,61,45,11,17,0,13,954,231,108,72,47,35,101,84,44,42,0,13,9,15,0,13,0,13,22,22,82,51,54,46,77,56,44,37,82,57,45,34,0,13,56,37,22,24,20,31,88,48,28,26,20,31,5,11
15000US530330250014,"BG 4, Tract 250.01, King, WA",1171,332,641,231,69,43,22,22,66,57,60,54,58,58,13,20,0,13,35,40,18,29,69,49,37,28,23,22,10,16,32,39,59,45,23,25,25,21,0,13,0,13,10,14,0,13,0,13,12,19,530,123,21,20,54,33,65,68,14,16,0,13,0,13,0,13,0,13,17,28,45,33,64,34,18,19,63,58,43,32,37,31,0,13,10,16,33,38,0,13,9,14,23,25,0,13,14,22
15000US530330250052,"BG 2, Tract 250.05, King, WA",1306,260,576,161,26,21,0,13,31,31,0,13,0,13,38,60,8,13,85,73,103,60,112,83,22,25,78,71,19,21,8,13,30,31,8,12,0,13,0,13,0,13,0,13,8,13,0,13,0,13,730,188,15,16,19,21,14,18,0,13,0,13,0,13,0,13,64,61,184,118,141,93,49,43,22,22,22,20,58,46,21,21,21,33,47,63,0,13,0,13,8,14,0,13,45,70,0,13
15000US530330250081,"BG 1, Tract 250.08, King, WA",1189,391,594,294,50,69,73,92,58,70,9,15,20,22,0,13,0,13,13,21,18,23,23,26,67,74,12,19,20,22,0,13,0,13,0,13,53,47,9,15,39,32,33,33,35,39,47,45,15,25,595,162,0,13,40,50,20,23,11,17,0,13,0,13,0,13,13,20,27,42,23,27,60,65,54,38,0,13,28,36,82,50,10,16,31,30,0,13,53,41,34,39,38,41,24,29,47,71
15000US530330250082,"BG 2, Tract 250.08, King, WA",1300,407,705,268,23,19,0,13,68,83,69,60,10,17,0,13,0,13,0,13,57,52,0,13,79,96,28,25,153,119,73,82,57,50,18,27,31,31,0,13,26,29,0,13,13,22,0,13,0,13,595,170,13,20,79,60,0,13,13,20,48,62,0,13,11,18,25,31,17,24,11,19,42,33,80,89,12,19,120,82,47,45,0,13,44,40,0,13,25,22,0,13,0,13,0,13,8,11
97000US5300390,"Bellevue School District, WA",144956,1921,74464,1392,4385,589,4409,512,4767,544,2821,407,1210,260,476,221,525,174,2487,379,7304,821,7511,702,5750,573,5214,451,5459,509,4916,550,4633,451,1449,235,2165,379,1114,205,1807,318,2064,352,1427,228,912,176,1659,416,70492,1291,3547,442,3729,415,3963,431,2456,354,1238,268,477,253,431,124,2082,345,6191,626,6268,728,5152,550,5175,607,5174,451,5038,446,4552,487,1278,196,1950,342,1189,198,1930,287,2841,405,1880,329,1367,218,2584,478
